ID|NUM| MARSHRUT| RASPIS| ST1| ST2| V_PUTI| FIRM_NAME| WAGON| ROUTE_LINK
1708|126 | Київ Костянтинівка | 27/03-21/04/2016 щоденно | 22000 | 24140 | 12:11 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1708&by_id=1
1716|758  | Могилів-Подільський Київ | з 28/03/2016 по понеділках, четвергах, суботах, крім 7-21/04/2016 | 22280 | 22000 | 6:18 | "ПОДІЛЬСЬКИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1716&by_id=1
1717|6  | Київ Москва | 27/03-3/04/2016, з 29/04/2016 щоденно | 22000 | 20007 | 13:13 | "УКРАЇНА" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1717&by_id=1
1722|91  | Київ Львів | 27/03-29/10/2016 щоденно | 22000 | 23200 | 7:25 | "ЛЬВІВ" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1722&by_id=1
1723|141 | Київ Львів | з 30/10/2016 щоденно | 22000 | 23200 | 12:56 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1723&by_id=1
1727|769  | Київ Могилів-Подільський | з 27/03/2016 по середах, п`ятницях, неділях | 22000 | 22280 | 6:21 | "ПОДІЛЬСЬКИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1727&by_id=1
1733|49  | Київ Трускавець | з 27/03/2016 щоденно, крім 5-21/04/2016 | 22000 | 23240 | 11:44 | "КОБЗАР" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1733&by_id=1
1735|50  | Трускавець Київ | з 27/03/2016 щоденно, крім 5-21/04/2016 | 23240 | 22000 | 11:35 | "КОБЗАР" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1735&by_id=1
1736|115 | Івано-Франківськ Харків | з 28/03/2016 по парних, при двох непарних 28,30,2 | 23000 | 22100 | 16:28 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1736&by_id=1
1738|776  | Київ Харків | з 28/03/2016 щоденно | 22000 | 22100 | 8:05 | "СТОЛИЧНИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1738&by_id=1
1741|43 | Івано-Франківськ Київ | з 27/03/2016 щоденно | 23000 | 22000 | 10:55 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1741&by_id=1
1742|78 | Ковель Москва | з 27/03/2016 щоденно, крім 4-28/04/2016, 7/06/2016 | 23020 | 20007 | 24:24 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1742&by_id=1
1743|97 | Київ Ковель | з 27/03/2016 щоденно | 22000 | 23020 | 9:49 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1743&by_id=1
1745|224 | Одеса Київ | 30/04, 3,7,9/05/2016 | 23600 | 22000 | 9:40 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1745&by_id=1
1751|284 | Барановичі Херсон | 15/06-15/09/2016 по непарних , при двох непарних 29,31,3 | 21010 | 23530 | 25:42 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1751&by_id=1
